Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nCPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nCPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific pTPM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cutaneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
MSH6,"GTBP, MSH-6",ENSG00000116062,MutS homolog 6,P52701,2,47695530-47810063,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","DNA damage, DNA repair, Host-virus interaction",DNA-binding,"Cancer-related genes, Disease variant, Hereditary nonpolyposis colorectal cancer",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Epicardial cells: 261.5,Low cell type specificity,Detected in all,,,Cancer enhanced,Detected in all,,Testicular Germ Cell Tumor (TCGA): 117.7,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Testis - Spermatocytes, Testis - Spermatogonia",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB009091, HPA028376, HPA028446, CAB070870",Enhanced,,Approved,"Nucleoplasm,Golgi apparatus,Vesicles,Cytosol",,,NA,Yes,,9400,Cluster 33: Non-specific - ATP binding,Cluster 75: Ovary - Mixed function,Cluster 28: Oligodendrocytes - Mixed function,Cluster 6: Leukemia - Signal transduction,Cluster 83: Epicardial mesothelial cells - Basic cellular functions,70,"Nucleoplasm, Golgi apparatus, Vesicles",Cytosol,"CAB009091: , CAB070870: , HPA028376: , HPA028446: ",unprognostic (4.23e-1),unprognostic (8.73e-2),unprognostic (1.82e-2),unprognostic (3.18e-1),unprognostic (2.27e-1),unprognostic (1.71e-1),unprognostic (3.04e-1),unprognostic (2.19e-2),unprognostic (2.80e-1),potential prognostic unfavorable (5.35e-4),unprognostic (7.60e-3),unprognostic (1.20e-1),potential prognostic unfavorable (2.54e-4),unprognostic (1.73e-3),potential prognostic unfavorable (2.16e-4),unprognostic (3.64e-2),unprognostic (1.55e-3),unprognostic (1.53e-2),unprognostic (8.87e-2),unprognostic (2.21e-1),unprognostic (9.64e-2),unprognostic (8.75e-3),potential prognostic unfavorable (2.16e-4),unprognostic (2.24e-2),unprognostic (5.55e-2),unprognostic (1.94e-1),unprognostic (7.87e-2),unprognostic (3.33e-1),unprognostic (1.96e-1),unprognostic (1.82e-1),unprognostic (3.83e-1)
MSI2,,ENSG00000153944,Musashi RNA binding protein 2,Q96DH6,17,57255851-57684689,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",,RNA-binding,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,retina: 116.8,Cell type enhanced,Detected in all,,Choroid plexus epithelial cells: 2522.2;Hematopoietic stem cells: 2363.0;Pituicytes/FSCs: 2836.6;Rod photoreceptor cells: 1742.4,Cell type enhanced,Detected in all,,astrocyte: 1911.3;choroid plexus epithelial cell: 2100.8;ependymal cell: 1777.7,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in some,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Adrenal gland - Adrenal cortex cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB022300, HPA068990",Approved,,Supported,Cytosol,,,NA,NA,,,Cluster 5: Non-specific - Cell proliferation,Cluster 48: Ciliated tissues - Cilium organization,Cluster 41: Monoamines - Neurotransmitter signalling,Cluster 6: Leukemia - Signal transduction,Cluster 91: Pituicytes/FSC - Homeostasis & neuron support,14,Cytosol,,"CAB022300: , HPA068990: ",potential prognostic favorable (1.12e-4),unprognostic (1.63e-2),unprognostic (2.96e-1),unprognostic (7.24e-2),unprognostic (3.04e-2),unprognostic (1.07e-1),unprognostic (3.12e-1),unprognostic (4.47e-1),unprognostic (3.32e-1),unprognostic (2.29e-2),potential prognostic favorable (2.11e-4),unprognostic (7.37e-2),unprognostic (3.17e-2),unprognostic (3.22e-2),unprognostic (1.67e-3),unprognostic (1.23e-1),unprognostic (3.29e-2),unprognostic (1.62e-1),potential prognostic favorable (3.20e-4),unprognostic (1.60e-1),unprognostic (2.92e-1),unprognostic (1.38e-1),unprognostic (2.16e-1),unprognostic (1.22e-1),unprognostic (1.35e-1),unprognostic (2.74e-2),unprognostic (1.08e-1),unprognostic (1.54e-3),unprognostic (3.76e-2),unprognostic (1.62e-1),unprognostic (4.28e-1)
MSN,,ENSG00000147065,Moesin,P26038,X,65588377-65741931,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Host-virus interaction,,"Cancer-related genes, Disease variant",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Alveolar cells type 1: 480.3;Megakaryocytes: 544.0;Monocyte progenitors: 438.5;monocytes: 512.9;Neutrophil progenitors: 510.8;Neutrophils: 900.6;Platelets: 881.1;Vascular endothelial cells: 465.1,Cell type enhanced,Detected in many,,central nervous system macrophage: 212.6;endothelial cell: 342.0;leukocyte: 365.0,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Breast - Endothelial cells, Pituitary gland - Endothelial cells, Skeletal muscle - Endothelial cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA000263, CAB010898, HPA011135, HPA011227, CAB047336, CAB047337, CAB047338",Enhanced,,Enhanced,Plasma membrane,,,NA,NA,,130000000,Cluster 38: Monocytes & Neutrophils - Degranulation,Cluster 14: Adipose tissue - Angiogenesis,Cluster 44: Non-specific - Mixed function,Cluster 48: Adipocytes & Endothelial cells - Angiogenesis,Cluster 32: Endothelial cells - Angiogenesis & vascular immunity,45,Plasma membrane,,"CAB010898: , CAB047336: , CAB047337: , CAB047338: , HPA000263: , HPA011135: , HPA011227: ",unprognostic (2.17e-1),unprognostic (1.56e-1),unprognostic (9.72e-2),unprognostic (3.16e-2),unprognostic (2.03e-1),unprognostic (4.24e-2),unprognostic (1.31e-2),potential prognostic unfavorable (1.26e-5),unprognostic (1.18e-1),unprognostic (2.12e-1),validated prognostic favorable (2.34e-5),validated prognostic favorable (6.25e-4),unprognostic (2.52e-2),unprognostic (1.26e-2),unprognostic (9.30e-2),unprognostic (1.51e-1),unprognostic (4.99e-3),unprognostic (7.58e-3),unprognostic (1.43e-2),unprognostic (2.13e-1),unprognostic (5.60e-2),unprognostic (1.46e-2),unprognostic (1.28e-1),unprognostic (8.65e-2),unprognostic (3.77e-2),unprognostic (1.37e-1),unprognostic (3.18e-2),unprognostic (7.62e-3),unprognostic (7.70e-2),unprognostic (1.19e-1),unprognostic (2.03e-1)
MTCP1,"P13MTCP1, p8MTCP1, TCL1C",ENSG00000214827,Mature T cell proliferation 1,P56278,X,155064034-155147937,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",,,"Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in many,,,Cell type enriched,Detected in many,5,Sertoli cells: 769.8,Low cell type specificity,Detected in all,,,Cancer enhanced,Detected in many,,Kidney Renal Clear Cell Carcinoma (TCGA): 6.3,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,Testis - Sertoli cells,Low region specificity,Detected in many,,,Low region specificity,Detected in all,,,HPA032040,,,Approved,"Nucleoplasm,Plasma membrane",,,NA,NA,,,,Cluster 22: Epididymis - Mixed function,Cluster 50: Non-specific - Nucleic acid binding,Cluster 56: Non-specific - Sensory perception,Cluster 43: Sertoli cells - Spermatogenesis microenvironment,1,Nucleoplasm,Plasma membrane,HPA032040: ,unprognostic (6.51e-2),unprognostic (3.59e-1),unprognostic (5.84e-2),unprognostic (1.21e-1),,unprognostic (2.14e-1),unprognostic (9.91e-2),unprognostic (6.69e-2),,unprognostic (1.59e-1),potential prognostic unfavorable (9.43e-4),unprognostic (3.13e-1),unprognostic (3.98e-2),,unprognostic (6.54e-2),unprognostic (2.96e-1),unprognostic (3.25e-2),unprognostic (1.12e-1),unprognostic (1.95e-1),unprognostic (1.24e-1),unprognostic (2.71e-2),unprognostic (2.35e-2),unprognostic (2.13e-3),,,unprognostic (1.45e-1),unprognostic (1.46e-2),,unprognostic (2.69e-2),,
MTOR,"FLJ44809, FRAP, FRAP1, FRAP2, RAFT1, RAPT1",ENSG00000198793,Mechanistic target of rapamycin kinase,P42345,1,11106535-11262556,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",,"Kinase, Serine/threonine-protein kinase, Transferase","Cancer-related genes, Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Testis - Early spermatids, Testis - Spermatocytes",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB069425, CAB080053, CAB080065, CAB080070, CAB080081, CAB080095, CAB080096, CAB080097",Supported,,Supported,"Golgi apparatus,Cytosol",,,NA,NA,,,Cluster 29: Non-specific - Unknown function,Cluster 61: Non-specific - Transcription,Cluster 38: Sub-cortical - Mixed function,Cluster 37: Non-specific - mRNA processing,Cluster 7: Non-specific - Transcription,150,"Golgi apparatus, Cytosol",,"CAB069425: , CAB080053: , CAB080065: , CAB080070: , CAB080081: , CAB080095: , CAB080096: , CAB080097: ",unprognostic (6.92e-2),unprognostic (1.55e-1),unprognostic (2.78e-1),unprognostic (1.51e-1),unprognostic (2.83e-2),unprognostic (1.84e-2),unprognostic (4.46e-2),unprognostic (9.82e-3),unprognostic (5.57e-2),unprognostic (1.35e-1),unprognostic (1.59e-2),unprognostic (4.09e-2),unprognostic (9.36e-3),unprognostic (4.39e-2),unprognostic (3.09e-2),unprognostic (2.17e-1),unprognostic (1.61e-1),unprognostic (1.23e-1),unprognostic (3.68e-2),unprognostic (2.52e-2),unprognostic (7.53e-2),unprognostic (2.86e-1),unprognostic (2.87e-1),unprognostic (3.65e-1),unprognostic (1.35e-1),unprognostic (1.16e-2),unprognostic (2.62e-1),unprognostic (3.05e-1),unprognostic (3.97e-1),unprognostic (8.73e-2),unprognostic (3.60e-1)
MUC1,"ADMCKD, ADMCKD1, Ca15-3, CD227, EMA, KL-6, MCD, MCKD, MCKD1, PEM, PUM",ENSG00000185499,"Mucin 1, cell surface associated",P15941,1,155185824-155192916,"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",,,"Cancer-related genes, Tumor suppressor",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,kidney: 416.9;stomach 1: 998.2,Cell type enhanced,Detected in many,,Alveolar cells type 1: 192.9;Alveolar cells type 2: 236.0;Breast lactating cells: 217.7;Conjunctival goblet cells: 94.2;Endometrial luminal cells: 102.3;Endometrial secretory cells: 154.6;Foveolar cells: 271.9;Gastric chief cells: 137.6;Mucous neck cells: 117.1;Prostatic club cells: 93.2;Respiratory deuterosomal cells: 126.5;Salivary duct cells: 75.7;Transitional alveolar cells: 176.8,Not detected,Not detected,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in single,,T-reg: 1.2,Lineage enhanced,Detected in single,,T-cells: 1.2,Cancer enhanced,Detected in all,,breast cancer: 211.1;pancreatic cancer: 218.2,"Adipose visceral - Mesothelial cells, Breast - Breast glandular cells, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids",,,,,Low region specificity,Detected in many,,,"CAB000036, CAB001986, HPA004179, HPA007235, HPA008855, CAB080102, CAB080103",Enhanced,,Supported,Plasma membrane,Secreted in other tissues,No annotated function,NA,NA,,2100000,Cluster 5: Non-specific - Cell proliferation,Cluster 60: Stomach - Digestion,Cluster 44: Non-specific - Mixed function,Cluster 53: Squamous epithelial cells - Keratinization,Cluster 68: Foveolar cells - Mucosal defense,29,Plasma membrane,,"CAB000036: , CAB001986: , CAB080102: , CAB080103: , HPA004179: , HPA007235: , HPA008855: ",unprognostic (6.27e-2),unprognostic (1.12e-1),unprognostic (1.67e-1),unprognostic (1.37e-1),unprognostic (1.99e-1),unprognostic (9.53e-3),unprognostic (5.63e-2),unprognostic (9.41e-2),unprognostic (9.23e-2),potential prognostic favorable (8.45e-4),potential prognostic unfavorable (6.35e-4),unprognostic (2.30e-2),unprognostic (1.09e-1),unprognostic (3.90e-3),unprognostic (2.60e-2),unprognostic (3.67e-1),unprognostic (2.24e-1),unprognostic (5.09e-3),unprognostic (9.30e-2),unprognostic (1.85e-1),unprognostic (1.04e-1),potential prognostic unfavorable (4.90e-4),unprognostic (1.65e-1),unprognostic (4.41e-1),unprognostic (5.51e-3),unprognostic (3.73e-3),unprognostic (2.61e-1),unprognostic (1.91e-1),unprognostic (1.21e-1),unprognostic (4.59e-2),unprognostic (9.12e-2)
MUTYH,MYH,ENSG00000132781,MutY DNA glycosylase,Q9UIF7,1,45329163-45340893,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins","DNA damage, DNA repair","Glycosidase, Hydrolase","Cancer-related genes, Disease variant, Tumor suppressor",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Colonocytes: 7.4;Distal convoluted tubule cells: 7.6;Enteric stem cells: 8.4;Enteric transient amplifying cells: 7.8;Epididymal efferent duct absorptive cells: 6.4;Foveolar cells: 9.2;Goblet cells: 8.0;Loop of henle epithelial cells: 8.5;Megakaryocytes: 6.2;Papillary tip epithelial cells: 6.7;Podocytes: 7.7;Proximal tubule cells: 10.1;Renal collecting duct intercalated cells: 7.8;Renal collecting duct principal cells: 7.8;Renal connecting tubule cells: 7.9,Low cell type specificity,Detected in some,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in some,,,Low region specificity,Detected in all,,,HPA008732,Uncertain,,Supported,Nucleoplasm,,,NA,NA,,,Cluster 33: Non-specific - ATP binding,Cluster 64: Non-specific - Transcription,Cluster 25: Non-specific - Transcription,Cluster 37: Non-specific - mRNA processing,Cluster 15: Non-specific - Protein processing,10,Nucleoplasm,,HPA008732: ,unprognostic (1.41e-1),unprognostic (2.24e-1),unprognostic (8.63e-2),unprognostic (4.99e-3),unprognostic (9.07e-2),unprognostic (1.25e-1),unprognostic (1.64e-1),unprognostic (9.16e-3),unprognostic (6.56e-2),unprognostic (1.40e-1),unprognostic (7.43e-3),unprognostic (2.28e-1),unprognostic (1.40e-1),potential prognostic unfavorable (9.20e-8),unprognostic (6.37e-2),unprognostic (3.43e-2),unprognostic (5.91e-2),unprognostic (7.27e-2),unprognostic (2.39e-1),unprognostic (9.19e-2),unprognostic (7.69e-3),unprognostic (2.57e-1),unprognostic (1.15e-1),unprognostic (1.33e-1),unprognostic (3.07e-2),unprognostic (8.78e-2),unprognostic (9.14e-3),unprognostic (1.05e-3),unprognostic (2.61e-1),unprognostic (1.57e-2),unprognostic (2.59e-3)
MYB,c-myb,ENSG00000118513,"MYB proto-oncogene, transcription factor",P10242,6,135181308-135219173,"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors","Transcription, Transcription regulation","Activator, DNA-binding","Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Group enriched,Detected in many,4,bone marrow: 33.1;breast: 18.9;intestine: 24.9;lymphoid tissue: 61.5,Cell type enhanced,Detected in many,,Breast hormone-responsive cells: 107.8;Enteric stem cells: 83.8;Erythrocyte progenitors: 174.9;Fallopian tube ciliated cells: 79.1;Hematopoietic stem cells: 280.5;Mast cells: 70.4;Megakaryocyte progenitors: 102.3;Megakaryocyte-Erythroid progenitors: 314.5;Monocyte progenitors: 100.0;Neutrophil progenitors: 215.4;Respiratory ciliated cells: 124.6;Respiratory deuterosomal cells: 157.6;Thymocytes: 90.6,Group enriched,Detected in many,7,ependymal cell: 54.4;LAMP5-LHX6 and Chandelier: 49.1;medium spiny neuron: 30.6,Group enriched,Detected in many,4,Breast Invasive Carcinoma (TCGA): 37.9;Colon Adenocarcinoma (TCGA): 32.5;Rectum Adenocarcinoma (TCGA): 35.7;Stomach Adenocarcinoma (TCGA): 13.1,Low region specificity,Detected in many,,,Group enriched,Detected in some,5,basophil: 4.5;eosinophil: 5.3;plasmacytoid DC: 1.5,Group enriched,Detected in many,5,dendritic cells: 1.5;granulocytes: 5.3,Cancer enhanced,Detected in many,,Leukemia: 175.7;lymphoma: 55.4,"Adipose subcutaneous - Mast cells, Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Stomach - Mitotic cells (Stomach), Thyroid gland - T-cells",Low region specificity,Detected in many,,,Low region specificity,Detected in some,,,"CAB017704, HPA071605",Approved,,Supported,"Nucleoplasm,Cytosol",,,NA,NA,,,Cluster 41: Basophils - Unknown function,Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation,Cluster 33: Neurons - Mixed function,Cluster 6: Leukemia - Signal transduction,Cluster 37: Neutrophil progenitors - Granulopoiesis,26,Nucleoplasm,Cytosol,"CAB017704: , HPA071605: ",unprognostic (2.06e-1),unprognostic (5.37e-1),unprognostic (5.41e-2),unprognostic (6.34e-2),unprognostic (1.87e-1),unprognostic (2.45e-3),,unprognostic (1.05e-2),unprognostic (1.18e-2),,,,,,,unprognostic (1.80e-1),unprognostic (2.00e-3),unprognostic (9.39e-2),unprognostic (3.30e-2),unprognostic (1.99e-1),unprognostic (4.65e-2),unprognostic (7.13e-2),unprognostic (9.47e-2),unprognostic (1.19e-3),unprognostic (2.12e-2),unprognostic (1.22e-1),,unprognostic (6.15e-3),unprognostic (6.13e-2),,unprognostic (1.77e-1)
MYC,"bHLHe39, c-Myc, MYCC",ENSG00000136997,"MYC proto-oncogene, bHLH transcription factor",P01106,8,127735434-127742951,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Transcription factors","Transcription, Transcription regulation","Activator, DNA-binding","Cancer-related genes, Proto-oncogene",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,adipose tissue: 250.6;skin 1: 277.4,Cell type enhanced,Detected in many,,Basal keratinocytes: 745.2;Breast secretory cells: 398.2;Decidual stromal cells: 1088.5;Esophageal basal cells: 309.2;Megakaryocyte-Erythroid progenitors: 261.0;Pericytes: 282.6;Smooth muscle cells: 266.7;Suprabasal keratinocytes: 718.8,Cell type enhanced,Detected in many,,lower rhombic lip: 12.6,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adipose visceral - Neutrophils,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB000084, CAB010307, HPA055893, HPA066556",Approved,,Enhanced,Nucleoplasm,,,NA,NA,,,Cluster 43: Non-specific - Transcription & Translation,Cluster 58: Skin - Keratinization,Cluster 49: Hindbrain - Mixed function,Cluster 22: Non-specific - mRNA splicing & Cell cycle,Cluster 103: Non-specific - Basic cellular processes,1427,Nucleoplasm,,"CAB000084: , CAB010307: , HPA055893: , HPA066556: ",unprognostic (3.45e-2),unprognostic (9.00e-2),unprognostic (1.21e-1),unprognostic (1.88e-2),unprognostic (1.31e-1),unprognostic (1.62e-1),unprognostic (5.86e-2),unprognostic (6.74e-3),unprognostic (1.02e-3),unprognostic (1.35e-1),unprognostic (3.51e-1),unprognostic (3.82e-1),unprognostic (6.10e-3),unprognostic (5.30e-2),potential prognostic unfavorable (4.83e-4),unprognostic (8.40e-3),potential prognostic unfavorable (4.02e-4),unprognostic (1.69e-1),unprognostic (1.91e-1),potential prognostic unfavorable (5.58e-4),unprognostic (2.04e-1),unprognostic (1.84e-3),unprognostic (6.37e-3),unprognostic (1.95e-3),potential prognostic favorable (1.57e-4),unprognostic (9.09e-3),unprognostic (2.59e-1),unprognostic (1.43e-1),unprognostic (2.35e-1),unprognostic (1.56e-1),unprognostic (4.20e-1)
MYCL,"bHLHe38, LMYC, MYCL1",ENSG00000116990,"MYCL proto-oncogene, bHLH transcription factor",P12524,1,39895426-39902256,"Cancer-related genes, Predicted intracellular proteins, Transcription factors",,DNA-binding,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,pancreas: 63.9;skin 1: 37.4,Cell type enhanced,Detected in many,,Cytotrophoblasts: 43.5;Esophageal suprabasal cells: 30.6;Hepatocytes: 31.2;pDCs: 28.1;Prostatic hillock cells: 40.7;Respiratory deuterosomal cells: 79.8;Respiratory secretory cells: 26.1;Retinal pigment epithelial cells: 25.6;Urothelial cells: 85.7,Group enriched,Detected in some,4,central nervous system macrophage: 3.7;committed oligodendrocyte precursor: 11.6,Cancer enhanced,Detected in all,,Bladder Urothelial Carcinoma (TCGA): 63.4,Low region specificity,Detected in all,,,Group enriched,Detected in some,5,classical monocyte: 17.3;intermediate monocyte: 8.2;myeloid DC: 18.7;plasmacytoid DC: 22.8,Group enriched,Detected in many,72,dendritic cells: 22.8;monocytes: 17.3,Cancer enhanced,Detected in many,,lung cancer: 54.1;Myeloma: 31.7,"Breast - Breast glandular cells, Liver - Hepatocytes, Pituitary gland - Corticotropes",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA063132, HPA074515",,,Enhanced,"Nucleoplasm,Mitotic chromosome",,,Yes,NA,,,Cluster 2: Dendritic cells - Unknown function,Cluster 8: Pancreas - Proteolysis,Cluster 33: Neurons - Mixed function,Cluster 10: Ciliated cells - Ion channel activity,Cluster 69: Urothelial cells - Basic cellular functions,4,Nucleoplasm,Mitotic chromosome,"HPA063132: , HPA074515: ",unprognostic (1.23e-2),unprognostic (1.09e-1),,unprognostic (1.38e-1),unprognostic (8.05e-2),unprognostic (1.51e-1),unprognostic (2.12e-2),potential prognostic favorable (1.07e-4),unprognostic (7.28e-3),unprognostic (3.12e-1),unprognostic (4.92e-3),unprognostic (1.34e-1),unprognostic (3.50e-2),unprognostic (1.74e-2),,unprognostic (6.04e-3),unprognostic (5.31e-2),unprognostic (3.17e-2),unprognostic (6.11e-2),unprognostic (5.24e-2),unprognostic (1.16e-2),unprognostic (3.66e-2),unprognostic (4.83e-2),unprognostic (2.01e-1),unprognostic (2.14e-2),unprognostic (6.57e-3),unprognostic (1.79e-1),unprognostic (1.47e-2),unprognostic (7.16e-2),unprognostic (1.33e-2),unprognostic (2.67e-1)
